Serial_id,Chance_of_Admit 
1,0.92
2,0.76
3,0.72
4,0.8
5,0.65
6,0.9
7,0.75
8,0.68
9,0.5
10,0.45
11,0.52
12,0.84
13,0.78
14,0.62
15,0.61
16,0.54
17,0.66
18,0.65
19,0.63
20,0.62
21,0.64
22,0.7
23,0.94
24,0.95
25,0.97
26,0.94
27,0.76
28,0.44
29,0.46
30,0.54
31,0.65
32,0.74
33,0.91
34,0.9
35,0.94
36,0.88
37,0.64
38,0.58
39,0.52
40,0.48
41,0.46
42,0.49
43,0.53
44,0.87
45,0.91
46,0.88
47,0.86
48,0.89
49,0.82
50,0.78
51,0.76
52,0.56
53,0.78
54,0.72
55,0.7
56,0.64
57,0.64
58,0.46
59,0.36
60,0.42
61,0.48
62,0.47
63,0.54
64,0.56
65,0.52
66,0.55
67,0.61
68,0.57
69,0.68
70,0.78
71,0.94
72,0.96
73,0.93
74,0.84
75,0.74
76,0.72
77,0.74
78,0.64
79,0.44
80,0.46
81,0.5
82,0.96
83,0.92
84,0.92
85,0.94
86,0.76
87,0.72
88,0.66
89,0.64
90,0.74
91,0.64
92,0.38
93,0.34
94,0.44
95,0.36
96,0.42
97,0.48
98,0.86
99,0.9
100,0.79
101,0.71
102,0.64
103,0.62
104,0.57
105,0.74
106,0.69
107,0.87
108,0.91
109,0.93
110,0.68
111,0.61
112,0.69
113,0.62
114,0.72
115,0.59
116,0.66
117,0.56
118,0.45
119,0.47
120,0.71
121,0.94
122,0.94
123,0.57
124,0.61
125,0.57
126,0.64
127,0.85
128,0.78
129,0.84
130,0.92
131,0.96
132,0.77
133,0.71
134,0.79
135,0.89
136,0.82
137,0.76
138,0.71
139,0.8
140,0.78
141,0.84
142,0.9
143,0.92
144,0.97
145,0.8
146,0.81
147,0.75
148,0.83
149,0.96
150,0.79
151,0.93
152,0.94
153,0.86
154,0.79
155,0.8
156,0.77
157,0.7
158,0.65
159,0.61
160,0.52
161,0.57
162,0.53
163,0.67
164,0.68
165,0.81
166,0.78
167,0.65
168,0.64
169,0.64
170,0.65
171,0.68
172,0.89
173,0.86
174,0.89
175,0.87
176,0.85
177,0.9
178,0.82
179,0.72
180,0.73
181,0.71
182,0.71
183,0.68
184,0.75
185,0.72
186,0.89
187,0.84
188,0.93
189,0.93
190,0.88
191,0.9
192,0.87
193,0.86
194,0.94
195,0.77
196,0.78
197,0.73
198,0.73
199,0.7
200,0.72
201,0.73
202,0.72
203,0.97
204,0.97
205,0.69
206,0.57
207,0.63
208,0.66
209,0.64
210,0.68
211,0.79
212,0.82
213,0.95
214,0.96
215,0.94
216,0.93
217,0.91
218,0.85
219,0.84
220,0.74
221,0.76
222,0.75
223,0.76
224,0.71
225,0.67
226,0.61
227,0.63
228,0.64
229,0.71
230,0.82
231,0.73
232,0.74
233,0.69
234,0.64
235,0.91
236,0.88
237,0.85
238,0.86
239,0.7
240,0.59
241,0.6
242,0.65
243,0.7
244,0.76
245,0.63
246,0.81
247,0.72
248,0.71
249,0.8
250,0.77
251,0.74
252,0.7
253,0.71
254,0.93
255,0.85
256,0.79
257,0.76
258,0.78
259,0.77
260,0.9
261,0.87
262,0.71
263,0.7
264,0.7
265,0.75
266,0.71
267,0.72
268,0.73
269,0.83
270,0.77
271,0.72
272,0.54
273,0.49
274,0.52
275,0.58
276,0.78
277,0.89
278,0.7
279,0.66
280,0.67
281,0.68
282,0.8
283,0.81
284,0.8
285,0.94
286,0.93
287,0.92
288,0.89
289,0.82
290,0.79
291,0.58
292,0.56
293,0.56
294,0.64
295,0.61
296,0.68
297,0.76
298,0.86
299,0.9
300,0.71
301,0.62
302,0.66
303,0.65
304,0.73
305,0.62
306,0.74
307,0.79
308,0.8
309,0.69
310,0.7
311,0.76
312,0.84
313,0.78
314,0.67
315,0.66
316,0.65
317,0.54
318,0.58
319,0.79
320,0.8
321,0.75
322,0.73
323,0.72
324,0.62
325,0.67
326,0.81
327,0.63
328,0.69
329,0.8
330,0.43
331,0.8
332,0.73
333,0.75
334,0.71
335,0.73
336,0.83
337,0.72
338,0.94
339,0.81
340,0.81
341,0.75
342,0.79
343,0.58
344,0.59
345,0.47
346,0.49
347,0.47
348,0.42
349,0.57
350,0.62
351,0.74
352,0.73
353,0.64
354,0.63
355,0.59
356,0.73
357,0.79
358,0.68
359,0.7
360,0.81
361,0.85
362,0.93
363,0.91
364,0.69
365,0.77
366,0.86
367,0.74
368,0.57
369,0.51
370,0.67
371,0.72
372,0.89
373,0.95
374,0.79
375,0.39
376,0.38
377,0.34
378,0.47
379,0.56
380,0.71
381,0.78
382,0.73
383,0.82
384,0.62
385,0.96
386,0.96
387,0.46
388,0.53
389,0.49
390,0.76
391,0.64
392,0.71
393,0.84
394,0.77
395,0.89
396,0.82
397,0.84
398,0.91
399,0.67
400,0.95
401,0.63
402,0.66
403,0.78
404,0.91
405,0.62
406,0.52
407,0.61
408,0.58
409,0.57
410,0.61
411,0.54
412,0.56
413,0.59
414,0.49
415,0.72
416,0.76
417,0.65
418,0.52
419,0.6
420,0.58
421,0.42
422,0.77
423,0.73
424,0.94
425,0.91
426,0.92
427,0.71
428,0.71
429,0.69
430,0.95
431,0.74
432,0.73
433,0.86
434,0.71
435,0.64
436,0.55
437,0.58
438,0.61
439,0.67
440,0.66
441,0.53
442,0.79
443,0.92
444,0.87
445,0.92
446,0.91
447,0.93
448,0.84
449,0.8
450,0.79
451,0.82
452,0.89
453,0.93
454,0.73
455,0.71
456,0.59
457,0.51
458,0.37
459,0.69
460,0.89
461,0.77
462,0.68
463,0.62
464,0.57
465,0.45
466,0.54
467,0.71
468,0.78
469,0.81
470,0.86
471,0.87
472,0.64
473,0.9
474,0.67
475,0.67
476,0.59
477,0.62
478,0.65
479,0.71
480,0.79
481,0.8
482,0.78
483,0.83
484,0.71
485,0.73
486,0.7
487,0.68
488,0.79
489,0.76
490,0.65
491,0.67
492,0.54
493,0.53
494,0.62
495,0.68
496,0.87
497,0.96
498,0.93
499,0.73
500,0.84
